,reconstruction_error
0,0.170223787654388
1,0.16632919528508366
2,0.13921408159881662
3,0.1357659914549483
4,0.13039013564036445
5,0.13005721775368406
6,0.12906296671439438
7,0.12364698858670091
8,0.12006808944359287
9,0.11865483210239332
10,0.1167510148082083
11,0.11381280164601212
12,0.11343169808896304
13,0.11235757698556534
14,0.11021779029088455
15,0.10916110542962
16,0.10499847115717614
17,0.10296511274822946
18,0.10287516422560748
19,0.10266185723345299
20,0.10221823062859028
21,0.10167559957610821
22,0.09658399922421687
23,0.09625353857132943
24,0.09528731233053304
