,reconstruction_error
0,0.17251708756986495
1,0.1663382340193724
2,0.14532249063225489
3,0.1438543718848708
4,0.1385349373241334
5,0.13501452458813173
6,0.13480035571759869
7,0.12554300220692005
8,0.11970133984348276
9,0.11886521742174126
10,0.11675597340894468
11,0.11296116469987008
12,0.11203126702986135
13,0.11096071435216794
14,0.10977833858030332
15,0.10864292866498187
16,0.10649680431766814
17,0.10560942365659098
18,0.10479614589664489
19,0.1047247394643298
20,0.10188613136863792
21,0.10102399807756574
22,0.09779351759528483
23,0.09730051096772506
24,0.09712251260938175
