,reconstruction_error
0,0.16948024162043748
1,0.16632512254702903
2,0.14708083406823852
3,0.14666497808146
4,0.13777854683426172
5,0.12306203075323614
6,0.11956782905825783
7,0.11825639271864308
8,0.11489722369876215
9,0.11405084460663278
10,0.11398646722691635
11,0.11317720665223256
12,0.11273877932593628
13,0.11138374650043803
14,0.11046124898596886
15,0.10706666531400132
16,0.10598574995766868
17,0.10512870433468426
18,0.10293167492250119
19,0.10117935971991572
20,0.09678255223269334
21,0.09484382202323671
22,0.09352378840380561
23,0.09203674497224637
24,0.0911307753033942
