,reconstruction_error
0,0.17146025175165935
1,0.1663432126129767
2,0.14621362340173266
3,0.14606381206773167
4,0.14156809965858125
5,0.13631748330065424
6,0.13434109717926962
7,0.12431762018486571
8,0.11608689959799963
9,0.11590862114801714
10,0.111829939371188
11,0.11023884988519228
12,0.10984560029997678
13,0.1077206195814587
14,0.10516855958980345
15,0.10448000752477249
16,0.1044383563883359
17,0.10433795792363064
18,0.1040507354153177
19,0.10342682165895155
20,0.10281576039302914
21,0.10160652940296104
22,0.09944373677216665
23,0.09855840138810311
24,0.09704911096214397
