,reconstruction_error
0,0.1714985021736827
1,0.16633203861455953
2,0.15479651693984786
3,0.14289864212117803
4,0.14158278885737724
5,0.13595345877691553
6,0.13248248885007818
7,0.12401415675092287
8,0.11841883640078103
9,0.11309334537538134
10,0.11139728269842468
11,0.11044425566809137
12,0.10711156791873518
13,0.10515736535286448
14,0.10509272671924895
15,0.10459594956356162
16,0.10354004875148731
17,0.10295202583335755
18,0.10281938159786828
19,0.10179034360459702
20,0.10165550932617648
21,0.10091039576059249
22,0.10074100400111623
23,0.09683881975777432
24,0.0967648899648862
