,reconstruction_error
0,0.17102954795482936
1,0.16633916914239405
2,0.15508775999809246
3,0.14287598671581467
4,0.13823893044976926
5,0.13547608780037598
6,0.12590461128780497
7,0.1236246854041792
8,0.1181583566626767
9,0.115136848516855
10,0.11513336782250397
11,0.1119684175731508
12,0.11114701988620787
13,0.10962108323789868
14,0.10514641354612332
15,0.10506616951672204
16,0.10225008597434168
17,0.10201184744681113
18,0.10067679589402907
19,0.0977650318707398
20,0.09706364566945921
21,0.09618140548818938
22,0.09586276388505692
23,0.0956464712374004
24,0.09344500751904272
