,reconstruction_error
0,0.17153752752296383
1,0.16633303775634947
2,0.15339612035792086
3,0.1531602859059041
4,0.1466068870641913
5,0.13746090520102075
6,0.13194067761085956
7,0.1281429453056906
8,0.1242267909606986
9,0.11773569034195557
10,0.11616941390345206
11,0.11439435489514024
12,0.11436428585336061
13,0.1115604689306392
14,0.11133213360264041
15,0.11029275514484081
16,0.10663299802358463
17,0.10542442419242719
18,0.10512175359656692
19,0.10458923071233081
20,0.10442285083257725
21,0.1042272672398254
22,0.10408623447772994
23,0.1013695655436177
24,0.09692941893500596
