,reconstruction_error
0,0.17268774881951637
1,0.16703445730808203
2,0.16629605320626106
3,0.14515768890831648
4,0.14007811658314792
5,0.1399561686704855
6,0.1395213625324633
7,0.13446087973138005
8,0.1294116788797391
9,0.12635394785556442
10,0.12597211710454825
11,0.12455923553491581
12,0.12116281300345848
13,0.12110949573684833
14,0.1184504306220798
15,0.11265764545609928
16,0.11160136478185384
17,0.11134762205511342
18,0.10992244245620966
19,0.10981726311466379
20,0.10678488854895264
21,0.10493504763545151
22,0.10319346063704234
23,0.10138476795347098
24,0.0983333387634877
