,reconstruction_error
0,0.18038027245036084
1,0.16699783295506598
2,0.16625404570272337
3,0.15477591645466648
4,0.14024645916835038
5,0.12236140208390033
6,0.12223128112715474
7,0.12020949549049773
8,0.11994394415014795
9,0.11838378063332565
10,0.11717772038730526
11,0.11085913756171215
12,0.1087638714653775
13,0.10629105113972154
14,0.1048709139567551
15,0.10483852914053574
16,0.104535212881431
17,0.1040602061412414
18,0.10367228282289813
19,0.10107496711651627
20,0.10021136672921502
21,0.0976126544493402
22,0.09632344564442913
23,0.09553275202369339
24,0.09542845762115024
