,reconstruction_error
0,0.16974290558219104
1,0.16645274832005785
2,0.1662876593751926
3,0.15488183938736977
4,0.15081802642844233
5,0.12640885725773407
6,0.12185890941107207
7,0.12169940173859081
8,0.1191814776673964
9,0.11124086764667371
10,0.1067374880105268
11,0.10516597218026279
12,0.10505555684844682
13,0.10502120031022093
14,0.10454253637554692
15,0.10291407390108641
16,0.10259779487692605
17,0.10157906223144177
18,0.0997623996233193
19,0.09973081618863705
20,0.09633143821396312
21,0.09536659028342118
22,0.0948645282619043
23,0.09395909162272163
24,0.09385637963105094
