,reconstruction_error
0,0.17147851663163416
1,0.16894480685334815
2,0.1663398020097546
3,0.15090490819575733
4,0.13998335080628455
5,0.12410096354643092
6,0.11750734085689002
7,0.11614142381275008
8,0.11472570313194136
9,0.11330709679895114
10,0.11316343789711752
11,0.11160931408920687
12,0.11132188050505393
13,0.10849700162882628
14,0.10689978076515744
15,0.10592875969973904
16,0.1050964951608396
17,0.10488547909626288
18,0.10467144138777625
19,0.10432960350887718
20,0.10304994694641534
21,0.10233065921201516
22,0.10198376192468642
23,0.1014865062439334
24,0.10031993692258603
