,reconstruction_error
0,0.17159918837235513
1,0.1668043293098798
2,0.1663165985438884
3,0.14338325671902624
4,0.14152710066075944
5,0.1374445931227124
6,0.13045380515282853
7,0.12350147607968379
8,0.12243974725916477
9,0.12238804551564382
10,0.11427598256915358
11,0.1116149579641914
12,0.11046757859588738
13,0.10662250140094996
14,0.10636066153875104
15,0.10597084968714955
16,0.10590073647640347
17,0.10505629135701468
18,0.10441601646351481
19,0.10203525721736952
20,0.10199186212361075
21,0.10161920356277981
22,0.10148793773707589
23,0.09757130431499034
24,0.09603737840098459
