,reconstruction_error
0,0.17159250680281046
1,0.16885592515844539
2,0.16632431342347032
3,0.15830783159898226
4,0.15019053961894027
5,0.1367512805283131
6,0.13076612678076036
7,0.12451428297115269
8,0.12379484523430544
9,0.11868734129135602
10,0.11788271852780592
11,0.11222068270663149
12,0.11151964920008836
13,0.1106842626407748
14,0.1089539794061695
15,0.1073644445828854
16,0.10515895183258665
17,0.10493204538582562
18,0.10400374772034486
19,0.10383490306229826
20,0.10232464110881477
21,0.10183210687934342
22,0.09668547615246231
23,0.09581181083514716
24,0.09568674482465515
