,reconstruction_error
0,0.19767532047485442
1,0.1711895345580439
2,0.16631337478019007
3,0.16148068381815475
4,0.139134712108923
5,0.12345830207320131
6,0.12301827135093821
7,0.11563314459901697
8,0.1147509970472039
9,0.11208292629222803
10,0.11155925044093287
11,0.10807490572467203
12,0.10772060287807858
13,0.1056644120618618
14,0.10507019715368092
15,0.10503689225205597
16,0.10419128596400666
17,0.10220365797246013
18,0.10192964598804924
19,0.1007067532535938
20,0.09713334146631385
21,0.09649079043407988
22,0.09640961543450711
23,0.0955369601779401
24,0.09522515630627244
