,Name,Path,Infected
0,Setup.exe,Windows\WinSxS\amd64_microsoft-windows-setup-component_31bf3856ad364e35_10.0.19041.928_none_103d6d530bff8276\Setup.exe,0
1,AtBroker.exe,Windows\WinSxS\amd64_microsoft-windows-atbroker_31bf3856ad364e35_10.0.19041.789_none_ad71bbcb7d423882\AtBroker.exe,0
2,AtBroker.exe,Windows\WinSxS\amd64_microsoft-windows-atbroker_31bf3856ad364e35_10.0.19041.789_none_ad71bbcb7d423882\r\AtBroker.exe,0
3,AtBroker.exe,Windows\WinSxS\amd64_microsoft-windows-atbroker_31bf3856ad364e35_10.0.19041.789_none_ad71bbcb7d423882\f\AtBroker.exe,0
4,attrib.exe,Windows\WinSxS\amd64_microsoft-windows-attrib_31bf3856ad364e35_10.0.19041.1_none_687f28352b92068b\attrib.exe,0
5,audiodg.exe,Windows\WinSxS\amd64_microsoft-windows-audio-audiocore_31bf3856ad364e35_10.0.19041.906_none_54c4526f434e8f29\audiodg.exe,0
6,audiodg.exe,Windows\WinSxS\amd64_microsoft-windows-audio-audiocore_31bf3856ad364e35_10.0.19041.906_none_54c4526f434e8f29\r\audiodg.exe,0
7,audiodg.exe,Windows\WinSxS\amd64_microsoft-windows-audio-audiocore_31bf3856ad364e35_10.0.19041.906_none_54c4526f434e8f29\f\audiodg.exe,0
8,autochk.exe,Windows\WinSxS\amd64_microsoft-windows-autochk_31bf3856ad364e35_10.0.19041.804_none_c01679182071c269\autochk.exe,0
9,autochk.exe,Windows\WinSxS\amd64_microsoft-windows-autochk_31bf3856ad364e35_10.0.19041.804_none_c01679182071c269\f\autochk.exe,0
10,autochk.exe,Windows\WinSxS\amd64_microsoft-windows-autochk_31bf3856ad364e35_10.0.19041.804_none_c01679182071c269\r\autochk.exe,0
11,autoconv.exe,Windows\WinSxS\amd64_microsoft-windows-convert_31bf3856ad364e35_10.0.19041.804_none_7af7d68a0702d379\f\autoconv.exe,0
12,autoconv.exe,Windows\WinSxS\amd64_microsoft-windows-convert_31bf3856ad364e35_10.0.19041.804_none_7af7d68a0702d379\r\autoconv.exe,0
13,autoconv.exe,Windows\WinSxS\amd64_microsoft-windows-convert_31bf3856ad364e35_10.0.19041.804_none_7af7d68a0702d379\autoconv.exe,0
14,bcdboot.exe,Windows\WinSxS\amd64_microsoft-windows-bcdboot-cmdlinetool_31bf3856ad364e35_10.0.19041.746_none_3f4f2f619cf3ab53\f\bcdboot.exe,0
15,bcdboot.exe,Windows\WinSxS\amd64_microsoft-windows-bcdboot-cmdlinetool_31bf3856ad364e35_10.0.19041.746_none_3f4f2f619cf3ab53\r\bcdboot.exe,0
16,bcdboot.exe,Windows\WinSxS\amd64_microsoft-windows-bcdboot-cmdlinetool_31bf3856ad364e35_10.0.19041.746_none_3f4f2f619cf3ab53\bcdboot.exe,0
17,bcdedit.exe,Windows\WinSxS\amd64_microsoft-windows-b..iondata-cmdlinetool_31bf3856ad364e35_10.0.19041.1_none_3e1c0a49448926c6\bcdedit.exe,0
18,bfsvc.exe,Windows\WinSxS\amd64_microsoft-windows-b..vironment-servicing_31bf3856ad364e35_10.0.19041.746_none_040dcbff0463b755\f\bfsvc.exe,0
19,bfsvc.exe,Windows\WinSxS\amd64_microsoft-windows-b..vironment-servicing_31bf3856ad364e35_10.0.19041.746_none_040dcbff0463b755\bfsvc.exe,0
20,bfsvc.exe,Windows\WinSxS\amd64_microsoft-windows-b..vironment-servicing_31bf3856ad364e35_10.0.19041.746_none_040dcbff0463b755\r\bfsvc.exe,0
21,bootcfg.exe,Windows\WinSxS\amd64_microsoft-windows-bootconfig_31bf3856ad364e35_10.0.19041.1_none_c2078a8db9a59aef\bootcfg.exe,0
22,bootsect.exe,Windows\WinSxS\amd64_microsoft-windows-b..ment-bootsectortool_31bf3856ad364e35_10.0.19041.1_none_c27f721834e813f5\bootsect.exe,0
23,chkdsk.exe,Windows\WinSxS\amd64_microsoft-windows-chkdsk_31bf3856ad364e35_10.0.19041.1_none_77d767642c0e040b\chkdsk.exe,0
24,chkntfs.exe,Windows\WinSxS\amd64_microsoft-windows-autochkconfigurator_31bf3856ad364e35_10.0.19041.1_none_ceb3891c2721fc43\chkntfs.exe,0
25,cmd.exe,Windows\WinSxS\amd64_microsoft-windows-commandprompt_31bf3856ad364e35_10.0.19041.746_none_69061189792bce34\f\cmd.exe,0
26,cmd.exe,Windows\WinSxS\amd64_microsoft-windows-commandprompt_31bf3856ad364e35_10.0.19041.746_none_69061189792bce34\cmd.exe,0
27,cmd.exe,Windows\WinSxS\amd64_microsoft-windows-commandprompt_31bf3856ad364e35_10.0.19041.746_none_69061189792bce34\r\cmd.exe,0
28,compact.exe,Windows\WinSxS\amd64_microsoft-windows-compact_31bf3856ad364e35_10.0.19041.1_none_afe6484e54f00fd0\compact.exe,0
29,CompPkgSrv.exe,Windows\WinSxS\amd64_microsoft-windows-c..onentpackagesupport_31bf3856ad364e35_10.0.19041.746_none_3db5b5ee37a4dee7\CompPkgSrv.exe,0
30,CompPkgSrv.exe,Windows\WinSxS\amd64_microsoft-windows-c..onentpackagesupport_31bf3856ad364e35_10.0.19041.746_none_3db5b5ee37a4dee7\f\CompPkgSrv.exe,0
31,CompPkgSrv.exe,Windows\WinSxS\amd64_microsoft-windows-c..onentpackagesupport_31bf3856ad364e35_10.0.19041.746_none_3db5b5ee37a4dee7\r\CompPkgSrv.exe,0
32,conhost.exe,Windows\WinSxS\amd64_microsoft-onecore-console-host-core_31bf3856ad364e35_10.0.19041.746_none_4b8f8e3c83045659\f\conhost.exe,0
33,conhost.exe,Windows\WinSxS\amd64_microsoft-onecore-console-host-core_31bf3856ad364e35_10.0.19041.746_none_4b8f8e3c83045659\conhost.exe,0
34,conhost.exe,Windows\WinSxS\amd64_microsoft-onecore-console-host-core_31bf3856ad364e35_10.0.19041.746_none_4b8f8e3c83045659\r\conhost.exe,0
35,convert.exe,Windows\WinSxS\amd64_microsoft-windows-convert_31bf3856ad364e35_10.0.19041.804_none_7af7d68a0702d379\convert.exe,0
36,convertvhd.exe,Windows\WinSxS\amd64_microsoft-windows-virtualdiskapilibrary_31bf3856ad364e35_10.0.19041.928_none_cb738f4e672f1d4a\convertvhd.exe,0
37,convertvhd.exe,Windows\WinSxS\amd64_microsoft-windows-virtualdiskapilibrary_31bf3856ad364e35_10.0.19041.928_none_cb738f4e672f1d4a\f\convertvhd.exe,0
38,convertvhd.exe,Windows\WinSxS\amd64_microsoft-windows-virtualdiskapilibrary_31bf3856ad364e35_10.0.19041.928_none_cb738f4e672f1d4a\r\convertvhd.exe,0
39,CredentialUIBroker.exe,Windows\WinSxS\amd64_microsoft-windows-a..cation-creduibroker_31bf3856ad364e35_10.0.19041.746_none_a8b46aaa6c07ca3d\CredentialUIBroker.exe,0
40,CredentialUIBroker.exe,Windows\WinSxS\amd64_microsoft-windows-a..cation-creduibroker_31bf3856ad364e35_10.0.19041.746_none_a8b46aaa6c07ca3d\f\CredentialUIBroker.exe,0
41,CredentialUIBroker.exe,Windows\WinSxS\x86_microsoft-windows-a..cation-creduibroker_31bf3856ad364e35_10.0.19041.746_none_4c95cf26b3aa5907\CredentialUIBroker.exe,0
42,CredentialUIBroker.exe,Windows\WinSxS\x86_microsoft-windows-a..cation-creduibroker_31bf3856ad364e35_10.0.19041.746_none_4c95cf26b3aa5907\r\CredentialUIBroker.exe,0
