,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
0,System Idle Process,0,0,4994037812500,0,0,0,60,8192,12,0,61440,0,1,0,1,0,0,0,8192,9,60,0,0,8,8192,0,0,1,0
1,System,4,3989,5066406250,126871,1839580,0,256,32108544,11784,8,204800,4,1,0,1,0,0,0,5820416,157867,200,555,59349204,202,1687552,10162,259090442,1,0
2,Registry,124,0,9687500,1316,3827,4,22908,118652928,95136,8,7974912,124,9,211,11,231,0,0,108019712,60344,7788,4,16384,4,87756800,12664,165363712,1,0
3,smss.exe,488,53,2031250,479,11406,4,1120,2203367956480,1240,11,1077248,488,4,14,8,24,0,0,2203359817728,977,1052,22,16804,2,1241088,13,24724,1,0
4,csrss.exe,704,667,50781250,12124,608257,572,2036,2203415441408,5824,13,1896448,704,23,246,25,257,0,1562500,2203414421504,4037,1852,387,301385,11,5885952,0,0,1,0
5,wininit.exe,812,163,312500,246,3340,572,1940,2203400540160,7304,13,1433600,812,11,76,14,89,0,0,2203387895808,2182,1400,3,16388,1,7364608,0,0,1,0
6,csrss.exe,820,693,639218750,81132,1930170,804,3824,2203483037696,25584,13,3633152,820,31,251,32,284,1,10312500,2203466252288,420798,3548,1081464,27794554,16,7417856,0,0,1,0
7,services.exe,884,685,49218750,11610,176068,812,6784,2203404226560,12032,9,6418432,884,13,157,16,192,0,30625000,2203387691008,83815,6268,3,8308,7,11796480,2980,1956760,1,1
8,lsass.exe,904,1426,55468750,191069,13677228,812,9084,2203424808960,22404,9,9166848,904,26,159,30,161,0,75781250,2203422228480,28804,8952,2376,1209556,10,22843392,1199,450375,1,1
9,winlogon.exe,980,277,2187500,364,199188,804,3680,2203439456256,28680,13,2936832,980,13,144,17,179,1,156250,2203421245440,105983,2868,3,212844,6,12726272,0,0,0,0
10,svchost.exe,576,1612,75781250,80167,1641214,884,14304,2203468447744,33620,8,12787712,576,26,594,32,610,0,45312500,2203456503808,216253,12488,169,4545536,12,33103872,33,356352,1,1
11,fontdrvhost.exe,568,37,0,30,742,812,2064,2203406532608,5272,8,2007040,568,7,68,7,68,0,312500,2203404500992,1522,1960,1,66082,5,5378048,0,0,1,1
12,fontdrvhost.exe,528,37,2968750,216,5400,980,5212,2203538382848,14256,8,4583424,528,9,267,10,319,1,11250000,2203510915072,4547,4476,1,66082,5,12283904,0,0,1,1
13,WUDFHost.exe,1064,312,245937500,2076248,40444828,884,6844,2203433922560,17524,13,6733824,1064,15,133,19,137,0,146250000,2203426906112,5941,6576,11838,7362036,11,17903616,22050,4586400,0,1
14,svchost.exe,1136,1234,70468750,8889,758044,884,9604,2203493609472,18376,8,9342976,1136,21,185,26,309,0,113593750,2203423993856,84788,9124,39,159744,9,18280448,0,0,1,1
15,svchost.exe,1196,276,56875000,114,1872,884,3016,2203405320192,8924,8,2654208,1196,11,118,13,119,0,46093750,2203395358720,3698,2592,0,0,3,8982528,0,0,1,1
16,dwm.exe,1276,1332,840312500,16046,759982,980,148288,2203940106240,210300,13,113610752,1276,57,1023,78,1176,1,2155468750,2203874729984,3670633,110948,8,71044,14,149151744,0,0,0,1
