,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0,System Idle Process,0,0,1101250000,0,0,0,60,8192,12,0,61440,0,1,0,1,0,0,0,8192,9,60,0,0,1,8192,0,0,1,0,0
1,System,4,2858,141093750,30319,216799,0,224,14831616,860,8,204800,4,1,0,1,0,0,0,3985408,3703,200,154,273872,123,147456,994,36554539,1,0,0
2,Registry,72,0,5468750,258,4547,4,11884,123260928,114204,8,3272704,72,10,152,13,240,0,0,77434880,47250,3196,4,16384,4,48128000,1840,37556224,1,0,0
3,smss.exe,524,53,1250000,465,21114,4,1140,2.20337E+12,1248,11,1134592,524,4,14,8,24,0,0,2.20336E+12,978,1108,22,16804,3,1236992,15,25148,1,0,0
4,csrss.exe,632,541,5937500,7045,152458,624,1956,2.20342E+12,5488,13,1843200,632,24,252,25,261,0,1406250,2.20341E+12,3212,1800,459,350320,12,5529600,0,0,1,0,0
5,csrss.exe,708,355,7812500,11394,105426,700,6528,2.20343E+12,14996,13,1949696,708,21,165,22,185,1,1250000,2.20341E+12,10312,1904,76182,2525413,14,5541888,0,0,1,0,0
6,wininit.exe,724,162,781250,265,4682,624,1708,2.2034E+12,7156,13,1433600,724,12,76,13,88,0,0,2.20339E+12,2189,1400,3,16388,2,7155712,0,0,1,0,0
7,winlogon.exe,764,266,1250000,365,199188,700,3516,2.20343E+12,15916,13,2506752,764,12,141,16,156,1,156250,2.20342E+12,11743,2448,3,212844,4,11784192,0,0,0,0,0
8,services.exe,828,711,15000000,8244,111912,724,8200,2.20341E+12,12960,9,5713920,828,12,160,16,169,0,12500000,2.20341E+12,9659,5580,3,8308,9,10792960,4260,3996172,1,1,0
9,lsass.exe,836,1387,11250000,12025,1442414,724,7876,2.20342E+12,20408,9,7766016,836,27,158,31,158,0,15625000,2.20342E+12,9750,7584,2398,173407,10,20627456,1557,344132,1,1,0
10,fontdrvhost.exe,940,32,3125000,129,3224,764,3924,2.20352E+12,10796,8,4018176,940,8,282,9,282,1,5625000,2.20352E+12,3154,3924,1,66082,6,11051008,0,0,1,1,0
11,fontdrvhost.exe,948,32,156250,30,742,724,1564,2.2034E+12,3756,8,1572864,948,6,61,6,62,0,156250,2.2034E+12,1124,1536,1,66082,6,3760128,0,0,1,1,0
12,svchost.exe,956,1430,25468750,11926,276630,828,11648,2.20347E+12,28876,8,11042816,956,23,491,27,503,0,12968750,2.20345E+12,11251,10784,27,110592,17,28995584,1,65536,1,1,0
13,svchost.exe,556,1290,36875000,5185,453272,828,8940,2.20344E+12,17592,8,8425472,556,21,178,26,201,0,51093750,2.20343E+12,10720,8228,29,118784,12,17231872,0,0,1,1,0
14,svchost.exe,900,260,3281250,69,386,828,2252,2.2034E+12,7776,8,2306048,900,11,115,11,116,0,1718750,2.2034E+12,2247,2252,0,0,6,7958528,0,0,1,1,0
15,dwm.exe,1012,1106,21406250,1047,40792,764,79884,2.20373E+12,117380,13,62042112,1012,51,619,63,689,1,27031250,2.20369E+12,167875,60588,2,71028,16,96591872,0,0,0,1,0
16,svchost.exe,1088,180,468750,134,3332,828,2072,2.2034E+12,7900,8,1904640,1088,10,74,11,75,0,0,2.20339E+12,2230,1860,1,116,4,8040448,1,160,1,1,0
17,svchost.exe,1152,152,312500,21,238,828,1520,2.2034E+12,6148,8,1556480,1152,8,59,8,59,0,468750,2.2034E+12,1655,1520,0,0,3,6287360,0,0,1,1,0
18,svchost.exe,1160,218,156250,230,11296,828,2596,2.2034E+12,10380,8,2437120,1160,13,88,15,89,0,625000,2.2034E+12,2915,2380,0,0,2,10518528,0,0,1,1,0
19,svchost.exe,1180,247,781250,66,658,828,2224,2.2034E+12,12168,8,2191360,1180,10,110,10,112,0,1562500,2.2034E+12,3211,2140,0,0,4,12390400,0,0,1,1,0
20,svchost.exe,1276,418,6250000,4964,98804,828,6336,2.20344E+12,15600,8,6033408,1276,18,249,23,259,0,3906250,2.20343E+12,6946,5892,1,6,10,15912960,129,3357922,1,1,0
21,svchost.exe,1328,405,11406250,6134,177406,828,18940,2.20343E+12,21100,8,19394560,1328,14,84,15,99,0,5937500,2.20343E+12,10131,18940,586,5373056,8,21188608,589,11805712,1,1,0
22,svchost.exe,1336,121,468750,37,142,828,1636,2.20339E+12,7528,8,1454080,1336,9,64,9,64,0,0,2.20339E+12,1993,1420,0,0,2,7540736,0,0,1,1,0
23,svchost.exe,1360,327,2812500,7244,211662,828,4292,2.20346E+12,19308,8,4087808,1360,18,184,19,194,0,625000,2.20345E+12,5340,3992,5,8736,3,19456000,0,0,1,1,0
24,svchost.exe,1448,142,625000,1544,61398,828,5132,2.20339E+12,9272,8,5197824,1448,25,57,30,57,0,312500,2.20339E+12,3161,5076,0,0,4,9478144,0,0,1,1,0
25,svchost.exe,1476,247,4843750,92,1376,828,2740,2.2034E+12,9840,8,2609152,1476,11,85,12,85,0,4062500,2.2034E+12,3197,2548,0,0,6,9961472,0,0,1,1,0
26,svchost.exe,1512,228,1406250,266,13094,828,2572,2.2034E+12,7788,8,2281472,1512,10,78,18,79,0,1718750,2.20339E+12,2272,2228,0,0,7,7860224,0,0,1,1,0
27,svchost.exe,1648,448,781250,52,706,828,3200,2.2034E+12,9184,8,3055616,1648,10,102,11,102,0,3593750,2.2034E+12,2492,2984,34,714,7,9289728,0,0,1,1,0
28,svchost.exe,1660,240,16093750,7461,73118,828,6832,2.20773E+12,16836,8,2854912,1660,13,106,14,106,0,4531250,2.20772E+12,44702,2788,1,49761,5,14274560,274,3706510,1,1,0
29,svchost.exe,1680,173,0,31,110,828,1364,2.20339E+12,5936,8,1302528,1680,8,64,8,66,0,156250,2.20339E+12,1782,1272,0,0,3,6057984,0,0,1,1,0
30,svchost.exe,1692,400,1718750,2502,190785,828,4960,2.20343E+12,12684,8,4321280,1692,16,105,20,106,0,156250,2.20342E+12,3740,4220,2,232,5,12595200,2,320,1,1,0
31,Memory Compression,1768,0,45312500,0,0,4,544,250871808,243128,8,557056,1768,0,5,0,5,0,0,250740736,74915,544,0,0,38,37027840,0,0,1,0,0
32,svchost.exe,1792,175,0,135,2826,828,2036,2.2034E+12,8532,8,1921024,1792,13,77,14,78,0,156250,2.2034E+12,2393,1876,108,2172,3,8568832,0,0,1,1,0
33,svchost.exe,1828,173,468750,974,28970,828,1896,2.2034E+12,8008,8,1789952,1828,10,74,15,75,0,156250,2.20339E+12,2433,1748,0,0,3,8155136,0,0,1,1,0
34,svchost.exe,1848,422,5156250,14312,1091588,828,3752,2.20341E+12,9908,8,3162112,1848,13,90,16,90,0,4531250,2.2034E+12,2833,3088,0,0,11,9875456,0,0,1,1,0
35,svchost.exe,1856,141,1093750,4093,146890,828,2480,2.2036E+12,11516,8,1941504,1856,10,120,14,462,0,1875000,2.20342E+12,10632,1896,0,0,5,7266304,0,0,1,1,0
36,svchost.exe,1932,355,2343750,437,18754,828,3388,2.20342E+12,13996,8,3158016,1932,14,115,16,115,0,2500000,2.20341E+12,9213,3084,0,0,9,14168064,0,0,1,1,0
37,svchost.exe,1988,280,6250000,8904,474551,828,3148,2.20341E+12,8540,8,3207168,1988,14,85,18,89,0,781250,2.20341E+12,2834,3132,2,824,13,8704000,0,0,1,1,0
38,svchost.exe,2012,129,312500,1460,156398,828,1672,2.20339E+12,6552,8,1708032,2012,11,62,14,62,0,625000,2.20339E+12,1745,1668,0,0,5,6680576,0,0,1,1,0
39,svchost.exe,2032,377,625000,668,51602,828,3132,2.20341E+12,10340,8,2322432,2032,15,98,19,99,0,625000,2.2034E+12,2815,2268,0,0,4,10330112,0,0,1,1,0
40,svchost.exe,1884,199,156250,145,2760,828,2456,2.2034E+12,8744,8,1994752,1884,11,75,13,77,0,312500,2.2034E+12,2344,1948,0,0,6,8802304,0,0,1,1,0
41,svchost.exe,2052,196,312500,1078,261465,828,2356,2.20341E+12,12772,8,2174976,2052,13,98,15,100,0,0,2.20341E+12,3532,2124,4,512,3,13004800,0,0,1,1,0
42,svchost.exe,2064,188,39218750,3371,15810,828,81312,2.20349E+12,89732,8,16621568,2064,15,87,16,88,0,118593750,2.20348E+12,51169,16232,26349,107170260,3,25669632,814,1689080,1,1,0
43,spoolsv.exe,2180,483,2656250,2401,65334,828,8204,2.20345E+12,20864,8,6471680,2180,26,159,29,192,0,468750,2.20343E+12,9844,6320,181,87882,7,20234240,454,63861,0,1,0
44,svchost.exe,2264,177,2343750,5914,389200,828,2696,2.2034E+12,7860,8,1945600,2264,10,75,13,75,0,1250000,2.20339E+12,5497,1900,0,0,4,7741440,0,0,1,1,0
45,svchost.exe,2308,427,9531250,2283,54795,828,11560,2.20343E+12,20648,8,8384512,2308,32,112,35,117,0,6718750,2.20343E+12,11345,8188,1,116,14,17403904,8,413856,1,1,0
46,svchost.exe,2364,185,625000,1051,8870,828,2044,2.2034E+12,8328,8,2035712,2364,11,83,14,88,0,312500,2.2034E+12,2226,1988,271,17204,5,8519680,189,26620,1,1,0
47,svchost.exe,2380,139,625000,78,414,828,1772,2.2034E+12,7460,8,1597440,2380,10,72,11,72,0,0,2.20339E+12,1989,1560,0,0,2,7614464,0,0,1,1,0
48,svchost.exe,2528,265,1250000,861,120773,828,3508,2.20341E+12,10428,8,2899968,2528,16,94,22,94,0,468750,2.2034E+12,2923,2832,1,116,5,10354688,1,160,1,1,0
49,svchost.exe,2668,452,11406250,372,18214,828,12500,2.20344E+12,22316,8,11223040,2668,17,106,18,110,0,19687500,2.20344E+12,47475,10960,1885,15176404,23,21274624,88,1177800,1,1,0
50,svchost.exe,2724,458,3593750,4022,106929,828,14612,2.2036E+12,25076,8,4931584,2724,27,124,327,392,0,2031250,2.20346E+12,12721,4816,679,3320369,9,15560704,2604,15214208,1,1,0
51,svchost.exe,2740,592,9687500,4110,1568906,828,57360,2.20354E+12,74812,8,19288064,2740,27,186,30,256,0,32812500,2.20351E+12,80611,18836,155,13844972,14,36765696,604,1392736,1,1,0
52,svchost.exe,2748,333,1875000,1435,100966,828,13200,2.20349E+12,19808,8,11001856,2748,17,134,24,136,0,4062500,2.20346E+12,11402,10744,341,13869056,14,20160512,58,815624,1,1,0
53,svchost.exe,2772,369,312500,462,15770,828,3356,2.20341E+12,11304,8,2830336,2772,18,100,21,100,0,312500,2.2034E+12,3554,2764,1,116,5,11276288,1,160,1,1,0
54,svchost.exe,2824,216,625000,4555,17550,828,2604,2.20341E+12,9512,8,2547712,2824,13,87,14,90,0,312500,2.2034E+12,2777,2488,1521,102588,8,9465856,1020,157932,1,1,0
55,svchost.exe,2864,129,312500,90,1112,828,1700,2.20339E+12,6944,8,1630208,2864,10,69,11,71,0,156250,2.20339E+12,1833,1592,0,0,2,7028736,0,0,1,1,0
56,VGAuthService.exe,2880,166,156250,288,2932,828,2932,2.20342E+12,11196,8,2973696,2880,12,123,12,124,0,0,2.20342E+12,3012,2904,27,32675,3,9850880,22,2304,1,1,0
57,svchost.exe,2888,124,0,245,12664,828,1360,2.20339E+12,5772,8,1257472,2888,8,59,9,61,0,0,2.20339E+12,1579,1228,44,22528,3,5857280,0,0,1,1,0
58,vmtoolsd.exe,2896,298,2968750,7756,482796,828,6720,2.20345E+12,19140,13,6418432,2896,21,165,23,172,0,9843750,2.20344E+12,9950,6268,409,12692,11,18001920,227,43954,1,1,0
59,vm3dservice.exe,2904,113,0,39,364,828,1532,2.2034E+12,6168,8,1470464,2904,8,79,9,81,0,312500,2.20339E+12,1704,1436,0,0,3,6283264,0,0,1,1,0
60,MsMpEng.exe,2916,736,65468750,273371,41300788,828,238604,2.20387E+12,228648,8,139706368,2916,62,541,69,562,0,1059218750,2.20382E+12,249633,136432,40024,378168301,10,146771968,3543,27972619,1,1,0
