,Name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30
0,System Idle Process,0,0,3977031250,0,0,0,60,8192,12,0,61440,0,1,0,1,0,0,0,8192,9,60,0,0,1,8192,0,0,1,0,0
1,System,4,2887,155312500,35089,226312,0,224,14831616,860,8,204800,4,1,0,1,0,0,0,3985408,3597,200,161,281040,118,147456,1090,38962051,1,0,0
2,Registry,72,0,5625000,276,4547,4,9368,123260928,114204,8,7680000,72,13,232,13,240,0,0,119050240,47180,7500,4,16384,4,112189440,1548,36098048,1,0,0
3,smss.exe,524,53,1250000,465,21114,4,1140,2.20337E+12,1248,11,1101824,524,4,14,8,24,0,0,2.20336E+12,978,1076,22,16804,2,1081344,15,25148,1,0,0
4,csrss.exe,632,527,6250000,7242,167882,624,1956,2.20342E+12,5496,13,1777664,632,23,248,25,259,0,1562500,2.20341E+12,3489,1736,453,345564,11,5369856,0,0,1,0,0
5,csrss.exe,708,345,10156250,11581,105830,700,6528,2.20343E+12,14996,13,1904640,708,20,162,22,185,1,2031250,2.20341E+12,10435,1860,86138,2773853,13,5410816,0,0,1,0,0
6,wininit.exe,724,162,781250,265,4682,624,1708,2.2034E+12,7156,13,1351680,724,11,76,13,88,0,0,2.20339E+12,2189,1320,3,16388,1,6877184,0,0,1,0,0
7,winlogon.exe,764,274,1562500,365,199188,700,3516,2.20343E+12,15916,13,2662400,764,13,143,16,156,1,156250,2.20342E+12,11751,2600,3,212844,6,11669504,0,0,0,0,0
8,services.exe,828,704,16875000,8255,116004,724,6004,2.20339E+12,10528,9,5640192,828,12,160,16,169,0,12812500,2.20339E+12,8647,5508,3,8308,9,10137600,3504,2489892,1,1,0
9,lsass.exe,836,1379,13125000,11387,1447684,724,7656,2.20342E+12,20452,9,7557120,836,27,154,31,156,0,18281250,2.20342E+12,9772,7380,2224,162735,10,19812352,1445,330020,1,1,0
