,Name,Path,Infected
0,System Idle Process,None,0
1,System,None,0
2,Registry,None,0
3,smss.exe,None,0
4,csrss.exe,None,0
5,csrss.exe,None,0
6,wininit.exe,None,0
7,winlogon.exe,C:\Windows\system32\winlogon.exe,0
8,services.exe,None,0
9,lsass.exe,C:\Windows\system32\lsass.exe,0
10,fontdrvhost.exe,C:\Windows\system32\fontdrvhost.exe,0
11,fontdrvhost.exe,C:\Windows\system32\fontdrvhost.exe,0
12,svchost.exe,C:\Windows\system32\svchost.exe,0
13,svchost.exe,C:\Windows\system32\svchost.exe,0
14,svchost.exe,C:\Windows\system32\svchost.exe,0
15,dwm.exe,C:\Windows\system32\dwm.exe,0
16,svchost.exe,C:\Windows\system32\svchost.exe,0
17,svchost.exe,C:\Windows\system32\svchost.exe,0
18,svchost.exe,C:\Windows\System32\svchost.exe,0
19,svchost.exe,C:\Windows\system32\svchost.exe,0
20,svchost.exe,C:\Windows\system32\svchost.exe,0
21,svchost.exe,C:\Windows\System32\svchost.exe,0
22,svchost.exe,C:\Windows\system32\svchost.exe,0
23,svchost.exe,C:\Windows\system32\svchost.exe,0
24,svchost.exe,C:\Windows\system32\svchost.exe,0
25,svchost.exe,C:\Windows\system32\svchost.exe,0
26,svchost.exe,C:\Windows\system32\svchost.exe,0
27,svchost.exe,C:\Windows\system32\svchost.exe,0
28,svchost.exe,C:\Windows\system32\svchost.exe,0
29,svchost.exe,C:\Windows\System32\svchost.exe,0
30,svchost.exe,C:\Windows\System32\svchost.exe,0
31,Memory Compression,None,0
32,svchost.exe,C:\Windows\system32\svchost.exe,0
33,svchost.exe,C:\Windows\System32\svchost.exe,0
34,svchost.exe,C:\Windows\System32\svchost.exe,0
35,svchost.exe,C:\Windows\system32\svchost.exe,0
36,svchost.exe,C:\Windows\System32\svchost.exe,0
37,svchost.exe,C:\Windows\system32\svchost.exe,0
38,svchost.exe,C:\Windows\System32\svchost.exe,0
39,svchost.exe,C:\Windows\system32\svchost.exe,0
40,svchost.exe,C:\Windows\System32\svchost.exe,0
41,svchost.exe,C:\Windows\System32\svchost.exe,0
42,svchost.exe,C:\Windows\system32\svchost.exe,0
43,spoolsv.exe,C:\Windows\System32\spoolsv.exe,0
44,svchost.exe,C:\Windows\system32\svchost.exe,0
45,svchost.exe,C:\Windows\system32\svchost.exe,0
46,svchost.exe,C:\Windows\System32\svchost.exe,0
47,svchost.exe,C:\Windows\system32\svchost.exe,0
48,svchost.exe,C:\Windows\System32\svchost.exe,0
49,svchost.exe,C:\Windows\system32\svchost.exe,0
50,svchost.exe,C:\Windows\system32\svchost.exe,0
