Last Modified,Last Update,Path,File Size,Exec Flag
10/13/21 12:38:36,N/A,C:\Windows\helppane.exe,N/A,N/A
04/09/21 13:54:58,N/A,C:\WINDOWS\system32\bootim.exe,N/A,N/A
01/17/22 06:07:26,N/A,C:\Users\isec\Downloads\cuda_11.2.0_460.89_win10.exe,N/A,N/A
01/17/22 05:46:58,N/A,C:\Users\isec\AppData\Local\Microsoft\Teams\Update.exe,N/A,N/A
01/17/22 05:47:01,N/A,C:\Users\isec\AppData\Local\Microsoft\Teams\current\Teams.exe,N/A,N/A
01/17/22 05:46:58,N/A,C:\Users\isec\AppData\Local\Microsoft\Teams\current\Squirrel.exe,N/A,N/A
08/17/21 15:08:46,N/A,C:\Users\isec\AppData\Local\SquirrelTemp\Update.exe,N/A,N/A
01/17/22 05:45:09,N/A,C:\WINDOWS\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.355.2032.0.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler64.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleCrashHandler.exe,N/A,N/A
01/17/22 05:38:38,N/A,C:\Users\Administrator\AppData\Local\afreeca\afreecatvstreamer.exe,N/A,N/A
01/17/22 05:38:34,N/A,C:\Users\Administrator\AppData\Local\afreeca\Uninstall.exe,N/A,N/A
06/23/21 01:26:08,N/A,C:\Users\ADMINI~1\AppData\Local\Temp\AFCUpdater2.exe,N/A,N/A
06/23/21 01:26:08,N/A,C:\Users\Administrator\AppData\Local\Temp\AFCUpdater2.exe,N/A,N/A
01/17/22 05:38:37,N/A,C:\Users\Administrator\AppData\Local\afreeca\afreecatvpackage.exe,N/A,N/A
04/09/21 13:53:57,N/A,C:\Windows\SysWOW64\schtasks.exe,N/A,N/A
01/17/22 05:38:30,N/A,C:\Users\Administrator\Downloads\afreecatvstreamer_installer.exe,N/A,N/A
01/17/22 05:37:10,N/A,C:\Program Files\Google\Chrome\Application\97.0.4692.71\Installer\chrmstp.exe,N/A,N/A
12/29/21 02:40:38,N/A,C:\Program Files\Google\Chrome\Application\chrome.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleUpdateOnDemand.exe,N/A,N/A
01/17/22 05:37:10,N/A,C:\Program Files (x86)\Google\Update\Install\{74DB9457-8D1A-422E-8A0D-2725F2559241}\CR_30904.tmp\setup.exe,N/A,N/A
01/17/22 05:37:08,N/A,C:\Program Files (x86)\Google\Update\Install\{74DB9457-8D1A-422E-8A0D-2725F2559241}\97.0.4692.71_chrome_installer.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Update\1.3.36.112\GoogleUpdateComRegisterShell64.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Update\GoogleUpdate.exe,N/A,N/A
01/17/22 05:36:50,N/A,C:\Program Files (x86)\Google\Temp\GUME0F5.tmp\GoogleUpdate.exe,N/A,N/A
01/17/22 05:36:48,N/A,C:\Users\Administrator\Downloads\ChromeSetup.exe,N/A,N/A
